编号,题名,作者,作者机构,日期,期刊,专辑,专题,引用数,下载数,关键词,摘要,URL,爬取时间
11,智慧环境下高校图书馆空间转型研究,邓李君;赵英,四川外国语大学图书馆,2021/12/15,图书馆,信息科技,图书情报与数字图书馆,13,1507,智慧图书馆; 空间转型; 高校图书馆; 影响因素; 转型策略,"智能技术和智慧应用推动了智慧图书馆的建设和实践,并促成高校图书馆通过空间转型实现功能建设、打造新的服务体系,推动图书馆为社会提供更高质量服务及更好的服务体验,充分展现其社会价值。文章在研究高校图书馆空间转型实践的基础上,解析空间转型方向,从精确定位建设目标、统筹促进空间功能发展、注重空间内涵建设与管理、加强空间特色化建设、加速空间功能与效用提升等方面构建图书馆空间转型策略。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WnK65OmPCOv3UlpoWXQUDwdG4HYW069pnJUS8gW7CvNP3p_316F9-HgdIuZICS6rxHAwQfIXQKwZKf5XyM6SWVhKfgpKJrPzhogzKC5HOMD0aT3_SArQtgaPqEgE0SKYO5d2Gn4AFqAQ==&uniplatform=NZKPT&language=CHS,2024/6/28
12,算法推荐时代高校思想政治理论课的创新研究,向勇,宁波大学科学技术学院马克思主义学院,2021/12/8,社会科学,社会科学Ⅱ辑,高等教育,11,2090,算法; 大思政; 人文素养; 信息素养; 算法素养,"为了解决信息过载问题,算法推荐技术应运而生,它在推动信息生产模式变革的同时,也带来了全新的秩序风险。在算法推荐时代,高校思想政治理论课面临诸多机遇与挑战。一方面,算法推动了教育教学精准化;另一方面,又对思想政治理论课教学形成强有力的冲击。面对算法的冲击,应当在加强高校思想政治理论课改革的同时,积极构建""大思政""育人格局。通过开展跨学科合作,培养大学生的人文素养,摒弃算法目的至上的工具理性;以高校图书馆为基地,开展批判性信息素养教育,提高大学生的信息素养;开设算法课程,提升大学生的算法素养;拓展算法社交,通过加强协作来提高对算法的认识,共同抵御算法负面效应的侵袭。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WnK65OmPCOv3UlpoWXQUDwdG4HYW069pkVHf9ziJIi0xaZC0vOgvcdin6yKBrmzHLav7X4XqA_ONvanrFw-2-NsXZmPznQfLX3-HMZ2uVS3hP3YcnISvWgoQGiAA8USj84Kq4ssTkS8g==&uniplatform=NZKPT&language=CHS,2024/6/28
13,基于人工智能的智慧图书馆建设的逻辑和方法研究,李菲菲,苏州大学图书馆,2021/12/1,情报科学,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,27,1208,人工智能; 智慧图书馆; 功能构建; 智慧服务; 智能管理,"【目的/意义】将人工智能技术应用于图书馆建设,助推传统图书馆转型升级,为图书馆提高服务能力提供技术支撑。【方法/过程】基于人工智能的技术背景,研究智慧图书馆建设要素、方式和发展逻辑,探寻人工智能与智慧图书馆深度融合的建设方法,明晰人工智能时代智慧图书馆的未来走向。【结果/结论】在不断提升智慧图书馆服务层次的前提下,借势人工智能助推智慧图书馆在时代潮流中智能化、智慧化、可持续化发展。【创新/局限】本文的局限性在于结合实际案例对所涉及的逻辑和方法进行验证较为薄弱,但这也为后续相关研究的展开奠定了坚实的理论基础。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VknWaEZoxKcbTJbKovZdq-junyl5NkpRpxa0aLw0Yj9Z8Z8pa8_6sYpoAUt1yzh3IAtlbCd5nkVetiye8h9WiYBHT8Z7SpLAmSOOUPzLjxyT6Zb6q5A1WTYWatlhkR6DCUBSCofySIWA==&uniplatform=NZKPT&language=CHS,2024/6/28
14,智能机器人技术在图书馆中的应用历程与展望,杨倩,国家图书馆,2021/11/21,大学图书馆学报,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,15,1908,智能机器人; 智能咨询; 智慧图书馆; 信息服务,"机器人技术在图书馆建设中的应用,有助于图书馆开展人工智能时代的格局重整,构建融合互通、泛在共赢的发展布局,全面提升智慧服务质量。此文在文献计量学分析基础上,梳理国内图书馆机器人领域研究成果,将其总结归纳为人工智能技术对图书馆管理的革新、机器人的体力替代型服务、机器人的智力替代服务、智慧馆员与智慧创新服务4个主题。机器人技术可以部分替代图书馆的体力服务,提升咨询服务的质量,衍生出各类优质智慧创新服务,实现各类异构数据的整合与深度解读,提升图书馆的资源揭示力度,优化图书馆的空间布局,增加用户服务效能,建立自助智能、数据导向、动态泛在的智慧图书馆服务系统。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Uuvi_Nqj9IygP0IVVdzSumsS68dddMUEGz6G7hRzLCCo-uSbt-z5WFx9gplgtjTBw-9R2KpGgjib6nL8IR60mI0JzBUh-kzAKi8XIOqNm-3fSFe26yCSnFc8UcL5N13uZRIZbmLi4rEw==&uniplatform=NZKPT&language=CHS,2024/6/28
15,基于闭环理论的高职图书馆智能化发展管理机制研究,袁西鹏;邓国家;郭新武,安徽商贸职业技术学院图书馆,2021/11/20,新世纪图书馆,信息科技,图书情报与数字图书馆,3,280,高职图书馆; 智能化; 闭环理论,"高职院校图书馆智能化转型不仅是人工智能技术发展到一定阶段的必然产物,也是职教改革背景下图书馆转型发展的内在要求。论文以高职图书馆人工智能研究现状为切入点,从理论研究、智能应用、技术创新三个方面分析现阶段高职图书馆智能化发展的特征与内涵,构建了基于闭环理论的高职图书馆智能化发展管理模型,以期为高职图书馆智能化发展非技术建设路径提供参考借鉴。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VerevMYq44mTYFTieftZJnKnYJCkGlOmVkZi78B8w9RYnCwcxFW0ubDxVeTbrX4pt_3B9kBsj5_jrHH1js-8BRwmnztvCXlhndirwfFloSGsjDvDZVtmnSTeDyH6h99aA8Cpsje5xUJA==&uniplatform=NZKPT&language=CHS,2024/6/28
16,ACRL《2020年高校图书馆发展大趋势》解读与启示,许丽丽,黑龙江大学图书馆,2021/11/20,新世纪图书馆,信息科技,图书情报与数字图书馆,1,384,美国大学与研究图书馆协会; 高校图书馆; 组织变革; 图书馆管理系统; 人工智能,"文章详细解读了ACRL《2020年高校图书馆发展大趋势》报告所提出的9项发展趋势,具体包括:变革管理,不断发展的图书馆集成系统,学习分析,机器学习和人工智能,开放获取转变与变革,研究数据服务发展和伦理问题,社会正义、批判图书馆学和批判数字教育学,流媒体,学生幸福感。结合我国高校图书馆的实际情况,提出我国高校图书馆的发展建议,即积极实施组织变革、建设新一代图书馆服务平台、推进人工智能应用、关注大学生心理健康问题。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8VerevMYq44mTYFTieftZJnKnYJCkGlOmVkZi78B8w9RYnCwcxFW0ubCoSesrqgkwXzYAT8qTn-M59FYJ3B4_9POaWS2zFA-CjTZTGdTemBzIe1BrpXVzVKC0KKUCSiNdmdJdkjk4kOOQ==&uniplatform=NZKPT&language=CHS,2024/6/28
17,人工智能时代文本与数据挖掘合理使用规则设计研究,吴高;黄晓斌,1. 广西师范大学法学院2. 中山大学信息管理学院,2021/11/20,图书情报工作,社会科学Ⅰ辑;信息科技,民商法;图书情报与数字图书馆,32,1821,人工智能; 文本与数据挖掘; TDM; 合理使用; 例外,"[目的/意义]在对美国、英国、欧盟、日本、德国等地区或国家对TDM行为的立法或司法应对进行比较分析基础上,提出我国TDM合理使用规则的设计思路。[方法/过程]首先分析人工智能时代文本与数据挖掘的技术特征及其挑战,介绍出版商和图书馆有关TDM合理使用的立场分歧,之后在对代表性国家有关TDM合理使用法律应对机制进行比较分析基础上,从TDM例外的主体、客体、目的、行为及其他条件等方面,论证我国TDM合理使用规则的具体内容。[结果/结论]任何机构或个人基于科学研究或其他合理目的对任何作品以复制、提取、改编或有限传播方式进行文本和数据挖掘构成合理使用,但利用非合法来源作品须支付合理的使用费。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X8MWdCDYSipX5niOttxeD0mPgrPIfazkrqSRNMJ5XMRZFs3pleKxuzTbN16JqpR-UqWRjXV86KFt6UWsZP707NdKco_GEpGC4q0_pCj13a1pe7871pJrz6Bj4QEgd8l2Ike15suULbOg==&uniplatform=NZKPT&language=CHS,2024/6/28
18,元宇宙是图书馆的未来吗？,杨新涯;钱国富;唱婷婷;涂佳琪,1. 重庆大学图书馆2. 广东外语外贸大学图书馆3. 重庆大学知识产权信息服务中心,2021/11/16 18:00,图书馆论坛,信息科技,计算机软件及计算机应用;图书情报与数字图书馆,201,13209,元宇宙; 智慧图书馆; 虚拟图书馆; 知识服务; 区块链,"元宇宙是在网络空间中,利用VR、AR、大数据和5G等多种数字技术成熟度的提升,构建既映射于又独立于现实世界的虚拟世界,对于包括图书馆在内的各行各业的未来发展均具有重要价值。图书馆行业可以利用元宇宙的发展机遇,构建起虚拟空间中的全新图书馆服务体系,破解当前发展中的一些难题。文章通过文献综述、专利分析方法,基于图书馆信息技术发展实际情况,提出值得探索的未来元宇宙中图书馆虚拟环境、深度标引的文献大数据、智慧服务等技术探索方向,以及相应的虚拟服务、人工智能馆员等服务重组的展望。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8Ud4Sci4NkfQuRcon98JEonQOoAdRjDxuONxNqURoqyuTCSjamktzHxaupvUVo_KUjnAUz3JDHDGqI_BqkWuWVbAKFFix0W7iYbyGRstGWBxID7TPFSFVU7PLbdYsIUhRu5FzgDefZPVA==&uniplatform=NZKPT&language=CHS,2024/6/28
19,面向智慧图书馆的专业化服务发展探究,郭欣萍,太原市图书馆,2021/11/15,图书馆建设,无,无,12,1372,无,"<正>1引言大数据、人工智能、云计算机技术的快速发展,推动了智慧图书馆的发展,数字图书馆强调图书馆馆藏资源的数字化建设,智慧图书馆更关注图书馆服务能力的提升,旨在将图书馆内外部大量的数据进行抽取、合并、表示、分析等一系列整合处理,以更准确、深入的贴身服务方式满足读者的各种需求。DIKW知识层次论将智慧放于知识金字塔的顶层,认为智慧是提升效率的能力[1]。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8UeH8AEFaOmtmRM_6IifM75xLQW0fF_bu3dTxE__Bl_RXcv68qMr784u1mboHZUR2gYt2WWQuGnIrmdKf5yewf_d2vkXWM_Zw0ZLvNf3wCNFiTyzaJyma3UATlLdHj5s12b-TRIzTrYZw==&uniplatform=NZKPT&language=CHS,2024/6/28
20,基于AI治理的图书馆智慧服务内在路径解析——以欧盟《人工智能伦理准则》为例,陆康;刘慧;张婧;任贝贝,1. 南京晓庄学院图书馆2. 南京晓庄学院幼儿师范学院3. 上海市网络技术综合应用研究所,2021/11/10,图书馆理论与实践,信息科技,图书情报与数字图书馆,12,1002,AI; 伦理规范; 《人工智能伦理准则》; 智慧图书馆,"人工智能技术在提升图书馆智能化服务水平的同时,也带来了诸多伦理和法律问题。文章在梳理国内外人工智能伦理治理文献的基础上,以欧盟发布的《人工智能伦理准则》七项原则为参考,提出智慧图书馆人工智能应用应该遵循的伦理规范、伦理原则以及实现伦理价值的内在路径,同时认为人工智能的伦理治理又可以促进图书馆智慧服务的健康发展。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8X32d2Y8blHysSSQ4Ssl_8M_GEhZ3BA_8Xs_GhsKS7bEt9xB0TeNKiQ1MRlAdv-Y86YzMPKCXztjEiACM-39oeC6E4J7-fR1R6uPHqOFYXTZo7RGfh29S5lHoDNtCXfG3zBG3dy0Vezrg==&uniplatform=NZKPT&language=CHS,2024/6/28
21,转型变革与人本服务：ACRL《2020年高校图书馆发展大趋势》解读,俞德凤,南京大学图书馆,2021/11/10,图书馆理论与实践,信息科技,图书情报与数字图书馆,4,436,高校图书馆; 图书馆趋势报告; 美国大学与研究图书馆协会,"文章对2016—2020年美国大学与研究图书馆协会的《高校图书馆发展大趋势》报告进行对比与分析,重点解读了2020版的《高校图书馆发展大趋势》报告,分析影响高校图书馆发展的九大趋势,并结合中国高校图书馆发展环境与特色,总结出对我国高校图书馆发展的启示:推进图书馆管理与服务转型变革、加强新技术开发与合理运用、拓展数据服务、加大流媒体资源服务、提升学生幸福感。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WSGRfILSvsIr2wZddj8PhhW5VI1wg_FGJAdgZ3jor-MnYj0FZDDghdp_aAd5lrpQqNJhH_Nbw5Ssyz-dfFcupNSnjXGBrbnkntny0OHvDzJH5NkXd2VCK3WuQhazqHAACzkV3sZK-05A==&uniplatform=NZKPT&language=CHS,2024/6/28
22,近十年我国研究生信息素养教育研究进展,黄丽霞;王昕玮,黑龙江大学信息管理学院,2021/11/4 14:43,图书馆理论与实践,信息科技,图书情报与数字图书馆,11,1965,信息素养; 研究生; 素养教育,"通过文献调研法,对现有研究生信息素养的培养模式、现状和应对策略进行归纳和总结,并分析这些研究的特点。研究认为,研究生信息素养教育要认清现状,注重与技术相结合,建立相应的评价体系与标准,重视图书馆在信息素养教育当中的作用,充分调动研究生群体积极性与创新能力,为国家的科研事业贡献力量。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8WSGRfILSvsIr2wZddj8PhhW5VI1wg_FGJAdgZ3jor-MnYj0FZDDghdTvnggLX45x1262EqRWfjpveOBf-QKOLWfNb-aHFkh2d19P8IEbn0SJ2EoUQ8mmObBKWyT7Mi_MfckuaI2jHS0A==&uniplatform=NZKPT&language=CHS,2024/6/28
23,图书情报事业发展与文献资源建设问题研究——《图书馆、情报与文献学研究的新视野(11)》荐读,冯成,南京理工大学,2021/10/26,情报理论与实践,无,无,0,441,无,"<正>书名:《图书馆、情报与文献学研究的新视野(11)》作者:中国社会科学情报学会出版社:中国书籍出版社出版时间:2019年12月ISBN:9787506876285定价:69元由中国社会科学情报学会主持的《图书馆、情报与文献学研究的新视野(11)》已于2019年12月由中国书籍出版社正式出版,已经以辑刊形式入编中国知网。该书在紧扣图书馆学、情报学新型智库建设、智慧情报、大数据与智能化等时代环境的基础上,聚焦于学科建设与文献资源建设融合,强调图书馆学、情报学研究始终要紧跟国家战略发展需要,增强学科在服务国家安全与发展中的战",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8XfSvU8VrUZ5ii-3ZxHQfgokBX7Zn8IWRxOqABTmQkG7EEZ4I-MbkQ9_c1T-qFnExJDgOlFU4bmKVO5Gbm7C-vRe7x5GrDRJGgYO6NyiNTjsqOgNn05JSaRLAVRUEvdRf25tNTysr3fuA==&uniplatform=NZKPT&language=CHS,2024/6/28
24,乡村振兴背景下用户参与式公共文化服务设计研究,徐延章,天津师范大学美术与设计学院,2021/10/15,图书馆,哲学与人文科学;信息科技,文化,21,2190,乡村振兴; 公共文化服务; 参与式; 服务设计; 人工智能; 用户体验,"文章从乡村振兴背景下人民日益增长的美好生活需要出发,结合服务设计思维进行公共文化智慧服务设计研究,从理念、维度、要素、层次、价值五个方面展开用户参与式公共文化服务设计分析,提出了创新服务设计理念、拓展服务设计维度、优化服务设计要素、细分服务设计层次、发挥服务设计价值的用户参与式公共文化服务设计方法,旨在通过用户参与式服务设计提升乡村公共文化服务效能,结合人工智能等新技术优化公共文化服务用户体验。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U9DgPuSwPXP2XIQnhF80sCA2N6KKgEea_HP-En5WZypl9jVk4hwzHsEKzGHjFlss16uD0QR-CM5pJxAOqLIinU4UojdGWKIembyb7kJenWhpywJI4qdGKsPTI5LJNcW2HLSOmFU7fJFA==&uniplatform=NZKPT&language=CHS,2024/6/28
25,媒介融合背景下STM出版趋势及其对研究型图书馆资源建设的启示,郭婷;胡胜男;贺玲玲,国防科技大学图书馆,2021/10/15,图书馆工作与研究,信息科技,图书情报与数字图书馆,6,422,STM出版; 研究型图书馆; 资源建设,"媒介融合背景下STM出版正在向全媒体出版和增强出版相结合的方向发展,以智能出版和语义出版为代表的新兴出版技术显著提高了STM出版的实效性。对STM出版现状及发展态势进行分析后发现,STM出版内容表现出数据化、工具化与全媒体化特征,STM出版商十分注重提供知识增值服务与资源应急服务。在此类实践指导下,研究型图书馆应构建开放包容的综合性资源体系,策划纸本资源与数字资源有机协调的采购方案,借助前沿信息技术推动馆藏资源的有序化组织,强化应对突发事件的资源应急服务能力,为图书馆知识服务提供有力的语料保障。",https://kns.cnki.net/kcms2/article/abstract?v=RkYMyaebi8U9DgPuSwPXP2XIQnhF80sCA2N6KKgEea_HP-En5WZypiGje7GVtKTjC1ck5ipxS7pifVMVycS0ydgjgMItX9FeriDyCJFfZMZIBSeAUnwvV3hmc_GsRt4YAQl4NY-ktew6B_n0MVp6mA==&uniplatform=NZKPT&language=CHS,2024/6/28
